week,awayteam,hometeam,network
5,Browns,Jets,CBS
5,Colts,Steelers,CBS
5,Bengals,Dolphins,FOX
5,Vikings,Saints,FOX
5,Giants,Commanders,FOX
5,Broncos,Chargers,CBS
5,Bears,Packers,FOX
5,Lions,Cardinals,FOX
5,49ers,Seahawks,FOX
5,Ravens,Falcons,NBC
5,Bills,Rams,ESPN 
6,Seahawks,Broncos,Amazon 
6,Texans vs. Jaguars,NFL
6,Jets,Patriots,CBS
6,Steelers,Buccaneers,CBS
6,Panthers,Eagles,CBS
6,Bears,Falcons,FOX
6,Titans,Colts,FOX
6,Saints,Giants,FOX
6,Ravens,Browns,FOX
6,Cardinals,Rams,FOX
6,Chargers,Chiefs,CBS
6,Bills,Raiders,CBS
6,Cowboys,Packers,NBC
6,Commanders,49ers,ESPN 
7,Patriots,Bears,Amazon 
7,Steelers vs. Saints,NFL
7,Browns,Titans,CBS
7,Dolphins,Jets,CBS
7,Colts,Vikings,CBS
7,Bengals,Ravens,CBS
7,Giants,Texans,FOX
7,Buccaneers,Panthers,FOX
7,49ers,Falcons,FOX
7,Broncos,Cardinals,CBS
7,Rams,Raiders,FOX
7,Packers,Lions,FOX
7,Chiefs,Seahawks,NBC 
7,Cowboys,Eagles,ESPN 
8,Panthers,Packers,Amazon 
8,Titans,Bengals,CBS
8,Colts,Jaguars,CBS
8,Browns,Steelers,CBS
8,Ravens,Bills,CBS
8,Falcons,Buccaneers,FOX
8,Vikings,Lions,FOX
8,Cardinals,Cowboys,FOX
8,Raiders,Jets,FOX
8,Chargers,Rams,FOX
8,Chiefs,Broncos,CBS
8,Patriots,Dolphins,CBS
8,Eagles,Commanders,NBC 
8,Bears,Seahawks,ESPN
9,Jaguars,Ravens,Amazon
9,Bengals vs. Falcons,NFL
9,Jets,Chiefs,CBS
9,Browns,Saints,CBS
9,Broncos,Panthers,CBS
9,Cowboys,Colts,FOX
9,Lions,Dolphins,FOX
9,Giants,Eagles,FOX
9,Rams,Commanders,FOX
9,Raiders,49ers,CBS
9,Texans,Chargers,CBS
9,Cardinals,Seahawks,FOX
9,Packers,Patriots,FOX
9,Buccaneers,Bears,NBC 
9,Bills,Vikings,ESPN 
10,Commanders,Giants,Amazon 
10,Patriots vs. Lions,FOX
10,Bills,Jets,CBS
10,Dolphins,Colts,CBS
10,Chiefs,Falcons,CBS
10,Vikings,Packers,FOX
10,Jaguars,Titans,FOX
10,Texans,Browns,FOX
10,Panthers,Saints,FOX
10,Rams,Cardinals,CBS
10,Seahawks,Raiders,CBS
10,49ers,Cowboys,FOX
10,Steelers,Bengals,NBC
10,Chargers,Ravens,ESPN
11,Colts,Texans,Amazon 
11,Cardinals,Chiefs,CBS
11,Buccaneers,Lions,CBS
11,Jaguars,Giants,CBS
11,Dolphins,Bills,FOX
11,Titans,Cowboys,FOX
11,Ravens,Panthers,FOX
11,Saints,Bears,FOX
11,Jets,Chargers,FOX
11,Steelers,Eagles,CBS
11,Raiders,Broncos,CBS
11,Vikings vs. 49ers,NBC
11,Bengals,Commanders,ESPN
12,Packers,Rams,Netflix
12,Bears,Lions,CBS
12,Eagles,Cowboys,FOX
12,Chiefs,Bills,NBC 
12,Broncos,Steelers,Amazon 
12,Ravens,Texans,CBS
12,Saints,Bengals,CBS
12,Jets,Dolphins,CBS
12,Falcons,Vikings,FOX
12,Giants,Colts,FOX
12,Raiders,Browns,FOX
12,Titans,Jaguars,CBS
12,Commanders,Cardinals,FOX
12,Seahawks,49ers,FOX
12,Patriots,Chargers,NBC
12,Panthers,Buccaneers,ESPN 
13,Chiefs,Rams,Amazon 
13,Lions,Falcons,CBS
13,Chargers,Buccaneers,CBS
13,Commanders,Titans,CBS
13,Bengals,Browns,CBS
13,49ers,Giants,FOX
13,Packers,Saints,FOX
13,Jaguars,Bears,FOX
13,Eagles,Cardinals,FOX
13,Dolphins,Broncos,FOX
13,Panthers,Vikings,CBS
13,Bills,Patriots,CBS
13,Texans,Steelers,NBC 
13,Cowboys,Seahawks,ESPN 
14,Vikings,Patriots,Amazon 
14,Broncos,Jets,CBS
14,Falcons,Browns,CBS
14,Bears,Dolphins,CBS
14,Texans,Commanders,CBS
14,Saints,Panthers,CBS
14,Colts,Eagles,FOX
14,Buccaneers,Ravens,FOX
14,Titans,Lions,FOX
14,Chargers,Raiders,CBS
14,Chiefs,Bengals,FOX
14,Rams,49ers,FOX
14,Giants,Seahawks,FOX
14,Bills,Packers,NBC
14,Steelers,Jaguars,ESPN 
15,49ers,Chargers,Amazon 
15,Seahawks,Eagles,FOX 
15,Bears,Bills,CBS 
15,Jaguars,Texans,CBS
15,Ravens,Steelers,CBS
15,Browns,Giants,CBS
15,Colts,Titans,CBS
15,Dolphins,Packers,FOX
15,Saints,Buccaneers,FOX
15,Bengals,Panthers,FOX
15,Falcons,Commanders,FOX
15,Jets,Cardinals,FOX
15,Cowboys,Rams,CBS
15,Broncos,Raiders,CBS
15,Lions,Vikings,NBC 
15,Patriots,Chiefs,ESPN 
16,Texans,Eagles,Amazon 
16,Packers,Bears,Netflix 
16,Bills,Broncos,Netflix
16,Rams,Seahawks,FOX
16,Buccaneers,Falcons,TBD
16,Chargers,Dolphins,FOX
16,Bengals,Colts,TBD
16,Commanders,Vikings,TBD
16,Cardinals,Saints,FOX
16,Patriots,Jets,CBS
16,Panthers,Steelers,TBD
16,Browns,Ravens,CBS
16,Titans,Raiders,CBS
16,49ers,Chiefs,CBS
16,Jaguars,Cowboys,NBC 
16,Giants,Lions,ESPN 
17,Ravens,Bengals,Amazon
17,Rams,Buccaneers,TBD
17,Broncos,Patriots,TBD
17,Chiefs,Chargers,TBD
17,Commanders,Jaguars,TBD
17,Bills,Dolphins,CBS
17,Steelers,Titans,CBS
17,Vikings,Jets,CBS
17,Saints,Falcons,FOX
17,Seahawks,Panthers,FOX
17,Colts,Browns,FOX
17,Giants,Cowboys,FOX
17,Raiders,Cardinals,CBS
17,Lions,Bears,FOX
17,Eagles,49ers,NBC 
17,Texans,Packers,ESPN
18,Jets,Bills,TBD
18,Jaguars,Colts,TBD
18,Raiders,Chiefs,TBD
18,Titans,Texans,TBD
18,Chargers,Broncos,TBD
18,Dolphins,Patriots,TBD
18,Browns,Bengals,TBD
18,Steelers,Ravens,TBD
18,Bears,Vikings,TBD
18,Lions,Packers,TBD
18,Cowboys,Commanders,TBD
18,Buccaneers,Saints,TBD
18,Eagles,Giants,TBD
18,Seahawks,Rams,TBD
18,Falcons,Panthers,TBD
18,49ers,Cardinals,TBD
